max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
367, 278, 1004, 903, 1000
990, 519, 1123, 1314, 1000
417, 1177, 1637, 684, 1000
914, 755, 1257, 1085, 1000
2912, 1288, 1255, 1841, 1000
529, 786, 1853, 1468, 1000
405, 1847, 656, 1346, 1000
1495, 2619, 500, 452, 1000
1657, 790, 1583, 1049, 1000
1214, 330, 1327, 1133, 1000
1009, 400, 479, 1446, 1000
1415, 342, 1233, 1040, 1000
258, 405, 751, 751, 1000
587, 833, 571, 601, 1000
456, 418, 576, 1260, 1000
327, 479, 912, 890, 1000
167, 972, 609, 1333, 1000
443, 467, 592, 993, 1000
251, 149, 1836, 582, 1000
3037, 1863, 1307, 581, 1000
832, 1013, 1070, 1235, 1000
257, 1144, 487, 618, 1000
105, 2723, 1168, 1567, 1000
50, 229, 1234, 1557, 1000
788, 497, 215, 661, 1000
905, 124, 1245, 441, 1000
1055, 2351, 1882, 767, 1000
695, 886, 550, 1961, 1000
303, 521, 608, 750, 1000
1892, 1016, 463, 1177, 1000
588, 824, 378, 1454, 1000
4576, 1358, 1358, 919, 1000
2175, 1145, 563, 450, 1000
725, 755, 579, 683, 1000
622, 328, 657, 1020, 1000
2017, 704, 960, 445, 1000
549, 1368, 925, 526, 1000
282, 198, 569, 816, 1000
1301, 313, 1774, 980, 1000
304, 1758, 613, 730, 1000
1545, 469, 239, 506, 1000
2334, 846, 578, 981, 1000
1277, 1899, 656, 703, 1000
401, 434, 1721, 554, 1000
3470, 482, 920, 613, 1000
245, 1103, 580, 1171, 1000
717, 902, 676, 830, 1000
530, 287, 537, 1033, 1000
182, 224, 215, 669, 1000
366, 1339, 891, 1534, 1000
428, 351, 1673, 870, 1000
1133, 176, 1138, 962, 1000
1376, 1430, 425, 974, 1000
703, 2324, 1614, 250, 1000
1088, 654, 981, 1457, 1000
521, 34, 898, 767, 1000
118, 168, 1095, 224, 1000
84, 289, 604, 1909, 1000
561, 298, 488, 1309, 1000
1984, 258, 374, 505, 1000
4203, 1289, 993, 657, 1000
113, 671, 892, 1290, 1000
752, 1508, 1982, 1564, 1000
385, 488, 433, 1406, 1000
333, 2699, 1239, 566, 1000
374, 814, 286, 648, 1000
344, 903, 1484, 1723, 1000
4736, 1155, 2101, 404, 1000
733, 1833, 1365, 820, 1000
395, 1003, 480, 686, 1000
269, 1519, 1092, 947, 1000
1255, 537, 602, 579, 1000
1772, 544, 175, 1607, 1000
529, 332, 1239, 1134, 1000
338, 848, 1013, 759, 1000
591, 1028, 2527, 1416, 1000
3197, 1749, 1594, 445, 1000
228, 1656, 875, 622, 1000
278, 1388, 4383, 1053, 1000
384, 945, 1209, 838, 1000
839, 2038, 735, 641, 1000
137, 1678, 540, 429, 1000
898, 371, 2272, 1131, 1000
1804, 1375, 355, 903, 1000
814, 165, 1060, 1726, 1000
938, 151, 524, 863, 1000
1197, 392, 2216, 1147, 1000
231, 1729, 544, 1437, 1000
721, 1182, 1307, 1134, 1000
646, 988, 945, 880, 1000
79, 1777, 484, 1058, 1000
539, 1115, 612, 1151, 1000
438, 708, 1283, 1362, 1000
1494, 604, 707, 383, 1000
534, 452, 1869, 1604, 1000
497, 1504, 1142, 401, 1000
662, 652, 530, 607, 1000
4547, 566, 1377, 996, 1000
2856, 805, 1092, 871, 1000
2, 2891, 1079, 1548, 1000
2170, 270, 650, 1216, 1000
1240, 1245, 592, 1433, 1000
356, 2205, 556, 227, 1000
