max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
3297, 667, 610, 1550, 1000
951, 1597, 918, 1320, 1000
1254, 395, 1275, 877, 1000
728, 1321, 1323, 953, 1000
3997, 892, 975, 749, 1000
467, 3102, 838, 290, 1000
1495, 390, 2003, 1667, 1000
936, 477, 2051, 817, 1000
2281, 228, 599, 399, 1000
1193, 886, 337, 576, 1000
178, 2586, 654, 890, 1000
38, 181, 599, 1227, 1000
2699, 583, 1527, 703, 1000
545, 2065, 932, 595, 1000
604, 1456, 715, 1310, 1000
56, 1308, 267, 706, 1000
4578, 503, 425, 1457, 1000
1373, 2594, 1890, 1374, 1000
5, 373, 1611, 1359, 1000
106, 577, 2157, 1048, 1000
853, 218, 1262, 1029, 1000
573, 785, 763, 838, 1000
101, 664, 639, 1804, 1000
4322, 402, 1297, 1452, 1000
374, 1754, 522, 702, 1000
504, 684, 1065, 1314, 1000
3703, 613, 401, 759, 1000
1107, 73, 2217, 1128, 1000
224, 838, 507, 1240, 1000
1081, 794, 961, 2143, 1000
293, 1632, 437, 1357, 1000
806, 1480, 1386, 1099, 1000
476, 1145, 763, 1607, 1000
561, 1144, 1425, 903, 1000
1450, 578, 1579, 1418, 1000
435, 1906, 619, 557, 1000
287, 1231, 1389, 614, 1000
56, 134, 1084, 628, 1000
2021, 168, 2864, 554, 1000
524, 2512, 1708, 281, 1000
226, 934, 848, 631, 1000
724, 496, 1328, 809, 1000
164, 895, 1639, 570, 1000
1544, 208, 558, 1727, 1000
370, 2603, 606, 1794, 1000
854, 196, 400, 428, 1000
345, 628, 1180, 959, 1000
1479, 326, 2381, 828, 1000
1484, 2279, 1341, 756, 1000
570, 318, 2066, 1239, 1000
738, 1496, 989, 901, 1000
388, 261, 583, 993, 1000
1176, 40, 1094, 1267, 1000
2428, 1365, 924, 469, 1000
1113, 857, 265, 1331, 1000
547, 162, 689, 638, 1000
477, 836, 1426, 1605, 1000
635, 286, 609, 1131, 1000
2061, 644, 896, 1485, 1000
238, 935, 563, 1544, 1000
95, 890, 615, 1024, 1000
993, 1960, 717, 958, 1000
856, 1375, 2247, 733, 1000
1317, 1325, 617, 953, 1000
865, 77, 1206, 979, 1000
622, 301, 2313, 654, 1000
238, 1505, 2548, 371, 1000
2392, 1155, 316, 1394, 1000
1820, 539, 1184, 1066, 1000
99, 806, 421, 281, 1000
134, 413, 901, 1473, 1000
720, 585, 280, 1540, 1000
708, 1516, 1864, 1471, 1000
861, 662, 2196, 1505, 1000
1700, 1102, 549, 1194, 1000
531, 329, 1407, 423, 1000
1241, 361, 856, 1453, 1000
655, 137, 621, 1415, 1000
554, 1062, 1344, 1279, 1000
2529, 549, 886, 1123, 1000
157, 429, 1928, 1098, 1000
861, 566, 1277, 898, 1000
153, 2564, 888, 467, 1000
274, 2579, 1436, 1378, 1000
1931, 2060, 968, 664, 1000
1958, 569, 313, 1720, 1000
3176, 1269, 2002, 1453, 1000
2598, 665, 925, 1423, 1000
1140, 662, 656, 688, 1000
2827, 658, 143, 995, 1000
429, 865, 2467, 737, 1000
3691, 800, 1464, 859, 1000
2228, 445, 1688, 1213, 1000
264, 544, 186, 674, 1000
297, 352, 735, 1386, 1000
186, 822, 1336, 485, 1000
370, 235, 400, 541, 1000
784, 199, 1746, 1045, 1000
49, 913, 1416, 1741, 1000
697, 1261, 1836, 1057, 1000
544, 1192, 1077, 883, 1000
451, 932, 302, 652, 1000
387, 1226, 1108, 1866, 1000
562, 276, 1546, 863, 1000
89, 642, 1226, 535, 1000
2723, 1178, 839, 842, 1000
321, 796, 1827, 412, 1000
735, 477, 998, 1267, 1000
1244, 1458, 1044, 920, 1000
312, 849, 1557, 486, 1000
2062, 572, 1748, 1577, 1000
4568, 705, 971, 1191, 1000
832, 46, 732, 1438, 1000
1148, 1310, 855, 840, 1000
527, 416, 1266, 2217, 1000
53, 490, 663, 1082, 1000
473, 494, 935, 722, 1000
29, 1401, 840, 642, 1000
33, 600, 287, 533, 1000
50, 837, 1525, 1327, 1000
913, 2008, 806, 1033, 1000
249, 1941, 668, 895, 1000
1303, 426, 951, 1320, 1000
709, 746, 1029, 1349, 1000
2175, 1792, 821, 662, 1000
864, 314, 988, 1027, 1000
678, 751, 2856, 475, 1000
4889, 1142, 1560, 1361, 1000
622, 1203, 325, 477, 1000
85, 215, 2022, 1023, 1000
1034, 470, 1179, 943, 1000
862, 713, 674, 1371, 1000
754, 2039, 934, 676, 1000
169, 476, 620, 1284, 1000
356, 1021, 1150, 907, 1000
1055, 562, 590, 1262, 1000
288, 168, 909, 498, 1000
662, 967, 383, 466, 1000
1667, 837, 1051, 926, 1000
982, 1819, 950, 573, 1000
86, 1461, 804, 1775, 1000
446, 800, 604, 1528, 1000
166, 1340, 648, 934, 1000
903, 422, 474, 1092, 1000
389, 3393, 878, 480, 1000
993, 930, 1351, 1605, 1000
398, 1884, 730, 714, 1000
378, 229, 1628, 1768, 1000
163, 1088, 631, 1750, 1000
199, 1180, 874, 859, 1000
1824, 1129, 365, 971, 1000
53, 2663, 388, 1486, 1000
863, 1381, 918, 1852, 1000
385, 261, 1685, 785, 1000
123, 347, 893, 1438, 1000
726, 667, 1665, 483, 1000
36, 439, 977, 705, 1000
122, 1479, 1476, 1132, 1000
2239, 594, 920, 434, 1000
996, 1385, 1380, 654, 1000
361, 1271, 1293, 821, 1000
1421, 334, 1983, 975, 1000
526, 1927, 781, 550, 1000
1758, 652, 1307, 730, 1000
261, 1603, 604, 841, 1000
1240, 87, 539, 689, 1000
1276, 134, 919, 2138, 1000
1175, 164, 230, 1219, 1000
333, 424, 1681, 1650, 1000
212, 1891, 694, 1242, 1000
668, 1288, 730, 1352, 1000
271, 57, 716, 1546, 1000
19, 1719, 1835, 926, 1000
1292, 935, 1384, 562, 1000
626, 566, 768, 751, 1000
196, 485, 253, 1392, 1000
220, 1104, 1314, 1247, 1000
584, 1073, 1303, 2365, 1000
1433, 727, 440, 1339, 1000
3145, 155, 376, 1054, 1000
6, 683, 851, 1013, 1000
159, 409, 1295, 832, 1000
2130, 970, 1414, 1149, 1000
121, 735, 135, 594, 1000
1243, 532, 571, 784, 1000
10, 319, 1503, 1322, 1000
626, 488, 89, 1132, 1000
1789, 318, 654, 941, 1000
69, 781, 1684, 558, 1000
66, 879, 1731, 1978, 1000
230, 390, 1354, 850, 1000
2257, 453, 592, 439, 1000
470, 389, 660, 1354, 1000
3262, 310, 1336, 1250, 1000
166, 1288, 1006, 1156, 1000
396, 303, 1014, 536, 1000
1076, 1017, 1283, 733, 1000
571, 2106, 1137, 421, 1000
507, 609, 1095, 899, 1000
579, 980, 738, 1029, 1000
194, 547, 1130, 576, 1000
275, 647, 1317, 1975, 1000
1590, 281, 1734, 812, 1000
213, 1427, 951, 1234, 1000
548, 2106, 360, 832, 1000
259, 785, 1380, 570, 1000
118, 459, 889, 2203, 1000
1487, 1045, 3487, 1127, 1000
542, 260, 1341, 633, 1000
2089, 1501, 392, 1262, 1000
1260, 1197, 690, 858, 1000
1536, 1758, 728, 843, 1000
347, 1619, 1308, 2348, 1000
2044, 2378, 539, 930, 1000
163, 1498, 419, 1358, 1000
104, 2106, 505, 814, 1000
2305, 769, 387, 1138, 1000
126, 198, 520, 930, 1000
1710, 1547, 1138, 1303, 1000
840, 1247, 1120, 791, 1000
682, 1115, 598, 1076, 1000
237, 1680, 838, 441, 1000
2587, 499, 1039, 1044, 1000
1532, 335, 691, 1292, 1000
134, 2347, 827, 559, 1000
849, 1566, 1299, 462, 1000
97, 1709, 1323, 891, 1000
276, 1040, 700, 1708, 1000
1558, 2557, 1229, 1331, 1000
2548, 1525, 1121, 1312, 1000
563, 1026, 328, 1125, 1000
41, 441, 588, 1118, 1000
177, 2260, 2013, 1101, 1000
629, 4317, 1754, 724, 1000
879, 691, 968, 678, 1000
2052, 74, 575, 728, 1000
1054, 206, 1912, 1823, 1000
375, 244, 240, 1021, 1000
481, 641, 894, 1184, 1000
539, 490, 919, 714, 1000
2077, 781, 1647, 1145, 1000
1069, 85, 1721, 1776, 1000
285, 275, 208, 1137, 1000
842, 1410, 1265, 853, 1000
179, 590, 392, 1055, 1000
436, 1106, 678, 701, 1000
2200, 1619, 606, 455, 1000
195, 1027, 1877, 875, 1000
285, 2036, 1111, 982, 1000
1348, 140, 585, 753, 1000
741, 68, 1789, 810, 1000
1652, 1639, 2047, 970, 1000
1453, 979, 914, 996, 1000
562, 788, 804, 1091, 1000
1986, 1217, 305, 622, 1000
752, 1104, 920, 1125, 1000
301, 400, 742, 882, 1000
762, 1722, 526, 1273, 1000
315, 2231, 756, 683, 1000
2125, 380, 957, 497, 1000
23, 2352, 409, 1357, 1000
1553, 1256, 1398, 615, 1000
1868, 1207, 583, 1573, 1000
4065, 421, 1077, 802, 1000
1366, 942, 904, 871, 1000
1088, 319, 1022, 1979, 1000
42, 302, 779, 1055, 1000
2754, 1938, 688, 1012, 1000
2970, 2011, 953, 1065, 1000
692, 976, 531, 1562, 1000
50, 3112, 1023, 1154, 1000
1272, 798, 1282, 1245, 1000
1721, 1826, 1664, 1246, 1000
436, 1209, 481, 928, 1000
75, 1020, 896, 1079, 1000
184, 468, 652, 189, 1000
1406, 1061, 319, 821, 1000
264, 978, 1651, 1601, 1000
477, 498, 1428, 619, 1000
589, 426, 2478, 840, 1000
296, 1933, 34, 1434, 1000
3947, 614, 1030, 2000, 1000
2172, 1473, 987, 623, 1000
453, 2336, 1377, 1445, 1000
517, 595, 686, 1132, 1000
711, 501, 1030, 1155, 1000
346, 132, 1924, 1009, 1000
1124, 297, 1649, 1347, 1000
399, 452, 162, 1664, 1000
873, 541, 1583, 2160, 1000
650, 2371, 1233, 749, 1000
124, 1345, 467, 609, 1000
1112, 1712, 654, 711, 1000
2098, 342, 1737, 500, 1000
473, 705, 982, 1560, 1000
501, 161, 629, 723, 1000
2715, 317, 620, 1354, 1000
1655, 1209, 918, 664, 1000
1977, 1740, 61, 1569, 1000
329, 859, 1100, 765, 1000
592, 844, 1420, 1309, 1000
70, 1685, 606, 1180, 1000
108, 532, 511, 1419, 1000
1764, 1632, 923, 1120, 1000
1072, 536, 735, 1230, 1000
1467, 469, 1925, 796, 1000
1434, 953, 341, 1263, 1000
608, 300, 233, 1032, 1000
1050, 448, 55, 1314, 1000
929, 127, 1513, 839, 1000
30, 2772, 1116, 1608, 1000
2367, 1177, 742, 905, 1000
680, 1484, 360, 634, 1000
73, 2504, 1843, 449, 1000
1037, 1264, 885, 262, 1000
700, 712, 582, 1293, 1000
1713, 762, 660, 906, 1000
1614, 763, 1807, 1032, 1000
366, 762, 1374, 1211, 1000
1417, 808, 861, 426, 1000
1451, 277, 1081, 606, 1000
166, 1593, 820, 880, 1000
193, 442, 222, 870, 1000
788, 697, 690, 1136, 1000
373, 91, 337, 1241, 1000
231, 3744, 877, 1140, 1000
2702, 231, 921, 1435, 1000
204, 704, 684, 464, 1000
700, 936, 858, 769, 1000
825, 2224, 1506, 430, 1000
466, 395, 427, 933, 1000
194, 1329, 375, 1679, 1000
3250, 403, 1171, 1072, 1000
332, 414, 1153, 2116, 1000
1737, 2091, 989, 184, 1000
57, 1745, 1582, 1654, 1000
2052, 546, 532, 310, 1000
96, 881, 1565, 488, 1000
33, 242, 456, 1096, 1000
863, 441, 333, 1470, 1000
1593, 1167, 1122, 299, 1000
1773, 251, 923, 903, 1000
201, 3261, 973, 806, 1000
80, 448, 1087, 1998, 1000
774, 316, 434, 519, 1000
387, 1378, 330, 1348, 1000
145, 1063, 1791, 1307, 1000
148, 334, 450, 375, 1000
967, 2116, 308, 1146, 1000
141, 979, 619, 1104, 1000
149, 804, 368, 1315, 1000
456, 1690, 960, 1795, 1000
2902, 770, 518, 902, 1000
913, 551, 1060, 1641, 1000
35, 1957, 645, 1480, 1000
1060, 916, 809, 948, 1000
1617, 897, 2107, 550, 1000
1618, 1819, 445, 2304, 1000
50, 299, 587, 1271, 1000
1034, 1564, 346, 1386, 1000
92, 924, 486, 817, 1000
76, 650, 727, 1957, 1000
77, 3500, 1219, 3165, 1000
1697, 579, 546, 1463, 1000
820, 1191, 259, 649, 1000
1681, 735, 1632, 1127, 1000
553, 863, 366, 619, 1000
385, 8, 882, 1975, 1000
2225, 1328, 651, 1036, 1000
358, 2562, 826, 1164, 1000
400, 2047, 928, 1099, 1000
337, 379, 1812, 524, 1000
268, 93, 592, 1746, 1000
344, 551, 1252, 929, 1000
637, 898, 1876, 465, 1000
3302, 314, 2233, 353, 1000
98, 1828, 3106, 301, 1000
13, 745, 1948, 1075, 1000
312, 435, 1560, 958, 1000
1502, 2001, 902, 308, 1000
1326, 1978, 1518, 1283, 1000
131, 2458, 937, 1600, 1000
3880, 2114, 118, 1325, 1000
217, 572, 429, 691, 1000
1978, 1025, 1593, 1562, 1000
1091, 672, 1207, 724, 1000
630, 1864, 784, 908, 1000
3083, 947, 713, 950, 1000
617, 1351, 2365, 1238, 1000
555, 470, 945, 889, 1000
530, 595, 624, 556, 1000
1425, 115, 2536, 1186, 1000
908, 469, 424, 745, 1000
23, 339, 536, 835, 1000
643, 1770, 274, 1306, 1000
2317, 350, 945, 1433, 1000
264, 1210, 1456, 1115, 1000
86, 257, 1266, 832, 1000
2266, 1620, 620, 1123, 1000
100, 920, 638, 495, 1000
1779, 924, 579, 1292, 1000
2140, 1085, 3347, 778, 1000
663, 717, 956, 1091, 1000
132, 1593, 849, 595, 1000
193, 1685, 736, 795, 1000
501, 597, 791, 546, 1000
1602, 677, 638, 793, 1000
1825, 660, 2069, 688, 1000
1761, 517, 276, 1026, 1000
221, 230, 420, 944, 1000
2802, 187, 904, 602, 1000
87, 123, 1742, 787, 1000
76, 144, 226, 578, 1000
649, 697, 853, 572, 1000
251, 1281, 1036, 693, 1000
89, 868, 1355, 614, 1000
735, 379, 1228, 863, 1000
144, 1027, 1925, 441, 1000
81, 1374, 864, 848, 1000
186, 1836, 1680, 1624, 1000
166, 218, 789, 848, 1000
664, 618, 234, 550, 1000
1355, 589, 733, 642, 1000
794, 407, 1170, 234, 1000
1221, 1031, 679, 1221, 1000
316, 2737, 2016, 522, 1000
2136, 89, 1359, 1924, 1000
188, 431, 1351, 1133, 1000
356, 273, 632, 550, 1000
983, 1841, 304, 590, 1000
692, 503, 2057, 728, 1000
6067, 1375, 1218, 1378, 1000
915, 521, 702, 880, 1000
547, 1315, 398, 1549, 1000
444, 447, 2044, 924, 1000
1037, 838, 396, 493, 1000
391, 533, 513, 805, 1000
2329, 697, 937, 1161, 1000
1487, 2210, 278, 820, 1000
1872, 251, 822, 1364, 1000
580, 4673, 230, 1531, 1000
102, 1461, 1045, 851, 1000
1056, 539, 229, 1334, 1000
333, 1236, 906, 1262, 1000
2385, 594, 270, 788, 1000
808, 624, 852, 1153, 1000
1357, 1028, 1772, 529, 1000
1216, 895, 1409, 1115, 1000
838, 1014, 856, 1155, 1000
1205, 1518, 2213, 392, 1000
472, 762, 1348, 955, 1000
830, 609, 740, 1388, 1000
135, 769, 1975, 646, 1000
247, 1892, 828, 867, 1000
2282, 501, 1059, 1759, 1000
312, 1978, 465, 1403, 1000
500, 470, 1931, 315, 1000
502, 342, 479, 1365, 1000
1185, 697, 628, 1065, 1000
1480, 2374, 743, 1657, 1000
106, 935, 1712, 1275, 1000
1010, 474, 300, 1856, 1000
521, 744, 596, 1175, 1000
477, 200, 1342, 1611, 1000
2657, 1172, 645, 1711, 1000
188, 46, 871, 751, 1000
928, 931, 1949, 858, 1000
1160, 552, 854, 670, 1000
3583, 778, 612, 1164, 1000
570, 878, 498, 334, 1000
712, 380, 810, 1297, 1000
200, 757, 1891, 795, 1000
1080, 805, 1748, 821, 1000
2014, 2714, 1286, 253, 1000
817, 1773, 716, 1243, 1000
408, 883, 707, 1180, 1000
246, 515, 711, 1503, 1000
455, 309, 443, 1239, 1000
289, 1135, 1186, 1367, 1000
142, 2952, 1009, 474, 1000
466, 666, 328, 618, 1000
3217, 708, 1246, 331, 1000
1095, 819, 326, 1024, 1000
21, 1367, 668, 1032, 1000
1721, 1677, 2631, 934, 1000
86, 932, 1232, 942, 1000
922, 847, 1799, 1171, 1000
1710, 292, 807, 1203, 1000
1628, 697, 1286, 1339, 1000
21, 670, 942, 1208, 1000
633, 499, 443, 628, 1000
323, 1798, 762, 2561, 1000
952, 811, 567, 672, 1000
162, 462, 1199, 608, 1000
634, 1036, 867, 292, 1000
773, 904, 1012, 852, 1000
920, 775, 1383, 526, 1000
674, 1213, 448, 897, 1000
404, 1396, 1837, 1289, 1000
1, 600, 2094, 1082, 1000
89, 713, 297, 1691, 1000
1040, 1528, 614, 503, 1000
972, 382, 798, 648, 1000
2430, 1589, 1112, 1460, 1000
1510, 2177, 540, 1294, 1000
402, 148, 272, 1270, 1000
57, 757, 700, 562, 1000
1854, 919, 392, 688, 1000
952, 354, 1608, 759, 1000
18, 396, 850, 846, 1000
481, 769, 1060, 741, 1000
158, 621, 1067, 1688, 1000
952, 454, 2065, 1091, 1000
203, 563, 623, 635, 1000
3497, 1796, 785, 752, 1000
531, 731, 502, 944, 1000
5110, 1257, 3251, 1595, 1000
728, 990, 1587, 536, 1000
669, 1121, 1429, 733, 1000
1722, 3058, 200, 1072, 1000
654, 767, 1479, 588, 1000
291, 1570, 290, 1940, 1000
4368, 1857, 713, 1409, 1000
416, 314, 1234, 726, 1000
346, 253, 2396, 1208, 1000
547, 452, 1795, 1776, 1000
59, 725, 410, 691, 1000
1191, 978, 753, 494, 1000
1470, 488, 408, 2046, 1000
3933, 1059, 1066, 1233, 1000
2554, 578, 727, 407, 1000
170, 2031, 344, 631, 1000
1234, 2104, 437, 1769, 1000
2817, 362, 1070, 1315, 1000
811, 143, 530, 503, 1000
435, 702, 505, 376, 1000
1168, 2695, 164, 1309, 1000
259, 676, 2331, 883, 1000
186, 1030, 292, 972, 1000
45, 733, 1038, 1634, 1000
1588, 991, 601, 915, 1000
623, 365, 630, 877, 1000
498, 1564, 1381, 653, 1000
1711, 3147, 1342, 708, 1000
453, 906, 908, 1013, 1000
1832, 608, 589, 1081, 1000
735, 1985, 612, 663, 1000
969, 1075, 278, 627, 1000
309, 844, 1124, 968, 1000
1417, 3078, 513, 683, 1000
2911, 259, 1523, 1376, 1000
526, 684, 417, 895, 1000
1081, 576, 917, 581, 1000
115, 573, 727, 493, 1000
1400, 1767, 432, 351, 1000
120, 207, 2077, 854, 1000
1612, 992, 1435, 739, 1000
2497, 2023, 766, 274, 1000
2615, 497, 932, 659, 1000
263, 340, 534, 1468, 1000
305, 1029, 2646, 1130, 1000
961, 2005, 326, 703, 1000
455, 304, 238, 915, 1000
999, 1563, 409, 1264, 1000
2418, 237, 133, 1460, 1000
2325, 239, 1233, 786, 1000
69, 2769, 297, 735, 1000
851, 247, 486, 1415, 1000
894, 594, 815, 1109, 1000
613, 1644, 1177, 1928, 1000
5467, 1305, 1401, 1049, 1000
2310, 1292, 1145, 638, 1000
1293, 2048, 550, 1092, 1000
2112, 476, 2408, 1048, 1000
1049, 1149, 315, 584, 1000
833, 545, 1552, 1392, 1000
447, 113, 815, 1835, 1000
349, 1050, 1034, 777, 1000
579, 395, 1898, 480, 1000
214, 1599, 203, 540, 1000
1376, 1847, 201, 1605, 1000
32, 766, 602, 1884, 1000
3312, 1640, 1734, 822, 1000
1437, 2248, 699, 685, 1000
966, 1382, 978, 1500, 1000
1068, 953, 721, 724, 1000
1327, 443, 1603, 471, 1000
67, 1873, 347, 893, 1000
2127, 444, 280, 753, 1000
2411, 394, 630, 1085, 1000
706, 405, 791, 728, 1000
498, 1106, 2833, 877, 1000
1923, 1753, 272, 1572, 1000
374, 519, 589, 1156, 1000
120, 951, 292, 995, 1000
450, 994, 345, 791, 1000
730, 3194, 312, 1066, 1000
44, 1071, 1796, 412, 1000
2536, 51, 1351, 1183, 1000
147, 880, 1550, 743, 1000
20, 1918, 1493, 1313, 1000
1374, 1067, 446, 1078, 1000
416, 1262, 518, 544, 1000
530, 1381, 1845, 358, 1000
1155, 784, 250, 616, 1000
50, 2663, 1183, 901, 1000
366, 1101, 1393, 1153, 1000
143, 723, 1218, 995, 1000
144, 88, 385, 783, 1000
6138, 434, 415, 723, 1000
2975, 713, 629, 860, 1000
188, 1243, 1380, 1353, 1000
716, 2113, 602, 1188, 1000
4808, 837, 2149, 1306, 1000
516, 2466, 1188, 962, 1000
360, 840, 1463, 1098, 1000
1640, 608, 581, 363, 1000
672, 895, 660, 982, 1000
214, 507, 674, 759, 1000
1820, 334, 504, 1218, 1000
81, 58, 245, 1351, 1000
735, 715, 628, 545, 1000
1100, 1038, 739, 999, 1000
283, 715, 1664, 877, 1000
1218, 1760, 1327, 1187, 1000
60, 1576, 411, 1164, 1000
110, 2847, 928, 985, 1000
558, 1367, 1035, 1021, 1000
593, 1136, 862, 605, 1000
2028, 703, 847, 1278, 1000
890, 392, 1142, 214, 1000
1274, 1555, 954, 417, 1000
3261, 618, 582, 1192, 1000
741, 1711, 1115, 142, 1000
82, 97, 703, 978, 1000
737, 1885, 849, 807, 1000
307, 1582, 519, 917, 1000
777, 472, 1677, 439, 1000
306, 418, 1021, 1269, 1000
1444, 803, 924, 387, 1000
598, 953, 1006, 642, 1000
718, 1161, 2083, 560, 1000
36, 789, 485, 995, 1000
244, 342, 491, 1380, 1000
1256, 1890, 661, 689, 1000
155, 1582, 2584, 2362, 1000
1194, 360, 1935, 217, 1000
476, 524, 872, 1035, 1000
2800, 366, 545, 647, 1000
495, 1631, 1391, 515, 1000
772, 188, 995, 1141, 1000
2090, 883, 646, 382, 1000
1002, 119, 231, 1697, 1000
7, 1377, 2200, 1169, 1000
302, 1931, 320, 493, 1000
1907, 299, 1868, 1652, 1000
1325, 657, 838, 934, 1000
1536, 426, 279, 906, 1000
259, 1194, 943, 1312, 1000
1101, 1109, 274, 815, 1000
341, 836, 1747, 708, 1000
397, 2079, 366, 570, 1000
64, 607, 2576, 1030, 1000
384, 833, 1128, 1111, 1000
978, 1631, 1352, 1033, 1000
670, 857, 917, 788, 1000
190, 570, 1180, 382, 1000
631, 2003, 882, 1006, 1000
37, 743, 437, 1535, 1000
2686, 92, 1473, 591, 1000
4331, 1199, 664, 433, 1000
248, 589, 1848, 1397, 1000
1533, 830, 492, 607, 1000
308, 1284, 771, 642, 1000
499, 714, 625, 2614, 1000
9, 90, 499, 618, 1000
574, 1401, 952, 1081, 1000
1214, 312, 504, 1218, 1000
1436, 1359, 1204, 996, 1000
2133, 988, 1456, 296, 1000
110, 3034, 1156, 836, 1000
1839, 1174, 1152, 333, 1000
668, 1019, 1079, 509, 1000
1015, 1370, 1055, 1623, 1000
412, 1756, 1427, 1079, 1000
672, 2502, 1504, 983, 1000
886, 1510, 1094, 925, 1000
297, 724, 1030, 1116, 1000
15, 1338, 2172, 1081, 1000
339, 570, 861, 1150, 1000
1720, 1233, 1572, 971, 1000
1131, 347, 477, 1169, 1000
307, 1509, 1187, 811, 1000
744, 1213, 703, 426, 1000
96, 363, 696, 972, 1000
395, 701, 664, 804, 1000
375, 917, 615, 1981, 1000
32, 1614, 837, 1193, 1000
314, 911, 676, 1317, 1000
1963, 2147, 529, 728, 1000
2303, 1875, 1001, 1734, 1000
282, 2580, 1318, 43, 1000
1431, 991, 833, 1855, 1000
1112, 173, 1685, 941, 1000
2778, 661, 312, 632, 1000
26, 3601, 707, 1130, 1000
2198, 1549, 1334, 817, 1000
519, 765, 352, 1564, 1000
168, 453, 690, 617, 1000
581, 258, 376, 1223, 1000
468, 482, 189, 938, 1000
3128, 1996, 1673, 935, 1000
1274, 875, 2308, 1328, 1000
346, 1003, 1029, 756, 1000
491, 363, 1747, 1243, 1000
668, 492, 498, 491, 1000
1610, 1553, 783, 1418, 1000
44, 1219, 227, 897, 1000
732, 1731, 938, 2561, 1000
275, 355, 904, 1406, 1000
36, 643, 1282, 1371, 1000
503, 2469, 695, 1271, 1000
1300, 755, 671, 678, 1000
911, 923, 346, 890, 1000
248, 956, 3012, 640, 1000
3011, 346, 2254, 873, 1000
2510, 701, 2072, 620, 1000
781, 486, 311, 1364, 1000
1108, 452, 256, 824, 1000
1232, 1306, 1206, 642, 1000
1, 1035, 1849, 1247, 1000
1049, 172, 390, 1018, 1000
77, 130, 272, 320, 1000
101, 1530, 393, 1380, 1000
642, 695, 289, 705, 1000
171, 1946, 455, 371, 1000
80, 1202, 1859, 972, 1000
978, 615, 963, 727, 1000
228, 2101, 509, 1502, 1000
454, 256, 323, 842, 1000
155, 1976, 860, 1693, 1000
360, 2612, 749, 710, 1000
158, 309, 694, 1214, 1000
1186, 712, 1035, 1154, 1000
308, 688, 842, 1254, 1000
205, 3835, 1208, 690, 1000
1675, 803, 386, 1221, 1000
210, 1577, 1703, 962, 1000
535, 306, 1100, 605, 1000
780, 750, 1495, 852, 1000
1712, 618, 1223, 1685, 1000
1055, 969, 551, 964, 1000
2173, 401, 947, 1071, 1000
103, 776, 503, 934, 1000
7, 1185, 1241, 621, 1000
843, 1272, 642, 1291, 1000
253, 1300, 808, 1003, 1000
2381, 637, 981, 1117, 1000
231, 1482, 361, 1441, 1000
302, 1177, 469, 869, 1000
1694, 129, 651, 493, 1000
1454, 1608, 1569, 839, 1000
140, 422, 935, 404, 1000
784, 1175, 860, 1397, 1000
1411, 195, 1052, 1127, 1000
1669, 232, 1297, 197, 1000
374, 286, 1433, 1012, 1000
566, 241, 650, 794, 1000
959, 434, 291, 576, 1000
1107, 633, 1195, 1146, 1000
403, 1887, 571, 1272, 1000
1058, 30, 606, 1049, 1000
667, 1594, 769, 390, 1000
668, 2163, 1104, 1056, 1000
764, 192, 643, 682, 1000
350, 1082, 616, 824, 1000
1419, 1866, 77, 539, 1000
690, 1383, 759, 1356, 1000
189, 2453, 971, 905, 1000
3059, 507, 1243, 614, 1000
194, 820, 843, 936, 1000
1888, 1062, 142, 2112, 1000
5415, 132, 2596, 1672, 1000
17, 810, 1142, 765, 1000
360, 449, 707, 1371, 1000
2696, 658, 590, 985, 1000
784, 1157, 1392, 385, 1000
601, 347, 655, 2117, 1000
2138, 658, 1154, 540, 1000
534, 636, 1658, 677, 1000
839, 175, 493, 1085, 1000
1464, 859, 1963, 1215, 1000
832, 831, 2478, 767, 1000
412, 806, 2076, 394, 1000
967, 251, 1534, 908, 1000
24, 1029, 2028, 577, 1000
308, 1205, 1107, 239, 1000
3057, 1539, 948, 712, 1000
120, 2340, 503, 434, 1000
345, 1003, 727, 2600, 1000
1164, 1393, 277, 1562, 1000
412, 1156, 841, 596, 1000
1711, 352, 194, 1438, 1000
169, 333, 2669, 1150, 1000
1203, 1362, 355, 3004, 1000
1229, 462, 690, 1091, 1000
5039, 2758, 272, 1417, 1000
1381, 804, 1454, 1125, 1000
876, 718, 671, 1327, 1000
329, 989, 308, 722, 1000
890, 585, 1978, 804, 1000
157, 1074, 622, 820, 1000
3644, 547, 443, 1493, 1000
26, 2, 1940, 1358, 1000
416, 1424, 1033, 330, 1000
680, 778, 1020, 365, 1000
3673, 2397, 1540, 952, 1000
1720, 1528, 1569, 368, 1000
1903, 4030, 375, 1044, 1000
2575, 1108, 338, 1826, 1000
2281, 213, 550, 536, 1000
756, 460, 1187, 1124, 1000
792, 744, 1007, 2046, 1000
129, 2925, 1529, 1082, 1000
1518, 525, 434, 367, 1000
1636, 540, 724, 768, 1000
613, 885, 730, 821, 1000
145, 711, 1053, 921, 1000
446, 608, 456, 543, 1000
1838, 943, 1353, 1382, 1000
225, 39, 1163, 1046, 1000
1177, 514, 852, 694, 1000
674, 724, 809, 1476, 1000
3533, 489, 1038, 717, 1000
316, 72, 398, 2357, 1000
1041, 476, 2023, 734, 1000
1390, 396, 143, 1481, 1000
113, 472, 851, 747, 1000
1210, 2054, 1044, 1209, 1000
